id,twitter,tika,confident
437319186256519168,en,sk,0
437319186260713472,es,es,0
437319186290081792,en,en,0
437319186281664512,sv,et,0
437319186252304384,en,en,0
437319186281693184,fr,ca,0
437319186273280001,en,de,0
437319186285887489,es,eo,0
437319186277466113,et,eo,0
437319186260709376,fr,gl,0
